Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions Totals","2","Afghanistan","7225","Emissions (CH4)","5058","Enteric Fermentation","2019","2019","3050","FAO TIER 1","kilotonnes","389.6563","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","724413","Emissions (CO2eq) from CH4 (AR5)","5058","Enteric Fermentation","2019","2019","3050","FAO TIER 1","kilotonnes","10910.3754","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","723113","Emissions (CO2eq) (AR5)","5058","Enteric Fermentation","2019","2019","3050","FAO TIER 1","kilotonnes","10910.3754","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7225","Emissions (CH4)","5059","Manure Management","2019","2019","3050","FAO TIER 1","kilotonnes","26.1252","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7230","Emissions (N2O)","5059","Manure Management","2019","2019","3050","FAO TIER 1","kilotonnes","0.3654","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","724413","Emissions (CO2eq) from CH4 (AR5)","5059","Manure Management","2019","2019","3050","FAO TIER 1","kilotonnes","731.5053","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","724313","Emissions (CO2eq) from N2O (AR5)","5059","Manure Management","2019","2019","3050","FAO TIER 1","kilotonnes","96.822","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","723113","Emissions (CO2eq) (AR5)","5059","Manure Management","2019","2019","3050","FAO TIER 1","kilotonnes","828.3273","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7225","Emissions (CH4)","5060","Rice Cultivation","2019","2019","3050","FAO TIER 1","kilotonnes","17.8542","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","724413","Emissions (CO2eq) from CH4 (AR5)","5060","Rice Cultivation","2019","2019","3050","FAO TIER 1","kilotonnes","499.9176","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","723113","Emissions (CO2eq) (AR5)","5060","Rice Cultivation","2019","2019","3050","FAO TIER 1","kilotonnes","499.9176","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7234","Direct emissions (N2O)","5061","Synthetic Fertilizers","2019","2019","3050","FAO TIER 1","kilotonnes","1.4879","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7236","Indirect emissions (N2O)","5061","Synthetic Fertilizers","2019","2019","3050","FAO TIER 1","kilotonnes","0.4836","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7230","Emissions (N2O)","5061","Synthetic Fertilizers","2019","2019","3050","FAO TIER 1","kilotonnes","1.9715","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","724313","Emissions (CO2eq) from N2O (AR5)","5061","Synthetic Fertilizers","2019","2019","3050","FAO TIER 1","kilotonnes","522.451","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","723113","Emissions (CO2eq) (AR5)","5061","Synthetic Fertilizers","2019","2019","3050","FAO TIER 1","kilotonnes","522.451","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7234","Direct emissions (N2O)","5062","Manure applied to Soils","2019","2019","3050","FAO TIER 1","kilotonnes","1.0882","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7236","Indirect emissions (N2O)","5062","Manure applied to Soils","2019","2019","3050","FAO TIER 1","kilotonnes","0.4625","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7230","Emissions (N2O)","5062","Manure applied to Soils","2019","2019","3050","FAO TIER 1","kilotonnes","1.5507","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","724313","Emissions (CO2eq) from N2O (AR5)","5062","Manure applied to Soils","2019","2019","3050","FAO TIER 1","kilotonnes","410.9284","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","723113","Emissions (CO2eq) (AR5)","5062","Manure applied to Soils","2019","2019","3050","FAO TIER 1","kilotonnes","410.9284","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7234","Direct emissions (N2O)","5063","Manure left on Pasture","2019","2019","3050","FAO TIER 1","kilotonnes","7.5701","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7236","Indirect emissions (N2O)","5063","Manure left on Pasture","2019","2019","3050","FAO TIER 1","kilotonnes","2.4844","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7230","Emissions (N2O)","5063","Manure left on Pasture","2019","2019","3050","FAO TIER 1","kilotonnes","10.0545","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","724313","Emissions (CO2eq) from N2O (AR5)","5063","Manure left on Pasture","2019","2019","3050","FAO TIER 1","kilotonnes","2664.4412","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","723113","Emissions (CO2eq) (AR5)","5063","Manure left on Pasture","2019","2019","3050","FAO TIER 1","kilotonnes","2664.4412","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7234","Direct emissions (N2O)","5064","Crop Residues","2019","2019","3050","FAO TIER 1","kilotonnes","1.2176","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7236","Indirect emissions (N2O)","5064","Crop Residues","2019","2019","3050","FAO TIER 1","kilotonnes","0.274","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7230","Emissions (N2O)","5064","Crop Residues","2019","2019","3050","FAO TIER 1","kilotonnes","1.4916","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2019","2019","3050","FAO TIER 1","kilotonnes","395.2689","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2019","2019","3050","FAO TIER 1","kilotonnes","395.2689","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7225","Emissions (CH4)","5066","Burning - Crop residues","2019","2019","3050","FAO TIER 1","kilotonnes","2.9693","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7230","Emissions (N2O)","5066","Burning - Crop residues","2019","2019","3050","FAO TIER 1","kilotonnes","0.077","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","724413","Emissions (CO2eq) from CH4 (AR5)","5066","Burning - Crop residues","2019","2019","3050","FAO TIER 1","kilotonnes","83.1393","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","724313","Emissions (CO2eq) from N2O (AR5)","5066","Burning - Crop residues","2019","2019","3050","FAO TIER 1","kilotonnes","20.3999","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","2019","2019","3050","FAO TIER 1","kilotonnes","103.5392","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7273","Emissions (CO2)","6750","Net Forest conversion","2019","2019","3050","FAO TIER 1","kilotonnes","0","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","723113","Emissions (CO2eq) (AR5)","6750","Net Forest conversion","2019","2019","3050","FAO TIER 1","kilotonnes","0","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7273","Emissions (CO2)","6751","Forestland","2019","2019","3050","FAO TIER 1","kilotonnes","154.6574","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","723113","Emissions (CO2eq) (AR5)","6751","Forestland","2019","2019","3050","FAO TIER 1","kilotonnes","154.6574","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7225","Emissions (CH4)","6795","Savanna fires","2019","2019","3050","FAO TIER 1","kilotonnes","0.1432","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7230","Emissions (N2O)","6795","Savanna fires","2019","2019","3050","FAO TIER 1","kilotonnes","0.0131","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","724413","Emissions (CO2eq) from CH4 (AR5)","6795","Savanna fires","2019","2019","3050","FAO TIER 1","kilotonnes","4.0089","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","724313","Emissions (CO2eq) from N2O (AR5)","6795","Savanna fires","2019","2019","3050","FAO TIER 1","kilotonnes","3.4642","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","723113","Emissions (CO2eq) (AR5)","6795","Savanna fires","2019","2019","3050","FAO TIER 1","kilotonnes","7.473","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7225","Emissions (CH4)","69921","Fires in humid tropical forests","2019","2019","3050","FAO TIER 1","kilotonnes","0","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7230","Emissions (N2O)","69921","Fires in humid tropical forests","2019","2019","3050","FAO TIER 1","kilotonnes","0","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","724413","Emissions (CO2eq) from CH4 (AR5)","69921","Fires in humid tropical forests","2019","2019","3050","FAO TIER 1","kilotonnes","0","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","724313","Emissions (CO2eq) from N2O (AR5)","69921","Fires in humid tropical forests","2019","2019","3050","FAO TIER 1","kilotonnes","0","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","723113","Emissions (CO2eq) (AR5)","69921","Fires in humid tropical forests","2019","2019","3050","FAO TIER 1","kilotonnes","0","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7225","Emissions (CH4)","6992","Forest fires","2019","2019","3050","FAO TIER 1","kilotonnes","0","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7230","Emissions (N2O)","6992","Forest fires","2019","2019","3050","FAO TIER 1","kilotonnes","0","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","724413","Emissions (CO2eq) from CH4 (AR5)","6992","Forest fires","2019","2019","3050","FAO TIER 1","kilotonnes","0","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","724313","Emissions (CO2eq) from N2O (AR5)","6992","Forest fires","2019","2019","3050","FAO TIER 1","kilotonnes","0","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","723113","Emissions (CO2eq) (AR5)","6992","Forest fires","2019","2019","3050","FAO TIER 1","kilotonnes","0","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7225","Emissions (CH4)","6993","Fires in organic soils","2019","2019","3050","FAO TIER 1","kilotonnes","0","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7273","Emissions (CO2)","6993","Fires in organic soils","2019","2019","3050","FAO TIER 1","kilotonnes","0","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","724413","Emissions (CO2eq) from CH4 (AR5)","6993","Fires in organic soils","2019","2019","3050","FAO TIER 1","kilotonnes","0","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","723113","Emissions (CO2eq) (AR5)","6993","Fires in organic soils","2019","2019","3050","FAO TIER 1","kilotonnes","0","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7225","Emissions (CH4)","6994","On-farm energy use","2019","2019","3050","FAO TIER 1","kilotonnes","0.0657","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7230","Emissions (N2O)","6994","On-farm energy use","2019","2019","3050","FAO TIER 1","kilotonnes","0.0362","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","7273","Emissions (CO2)","6994","On-farm energy use","2019","2019","3050","FAO TIER 1","kilotonnes","117.0798","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","724413","Emissions (CO2eq) from CH4 (AR5)","6994","On-farm energy use","2019","2019","3050","FAO TIER 1","kilotonnes","1.8396","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","724313","Emissions (CO2eq) from N2O (AR5)","6994","On-farm energy use","2019","2019","3050","FAO TIER 1","kilotonnes","9.5998","Fc","Calculated data",""
"GT","Emissions Totals","2","Afghanistan","723113","Emissions (CO2eq) (AR5)","6994","On-farm energy use","2019","2019","3050","FAO TIER 1","kilotonnes","128.5193","Fc","Calculated data",""
