Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"ESB","Soil nutrient budget","2","Afghanistan","7275","Cropland nutrient flow","5061","Synthetic Fertilizers","2018","2018","tonnes","46613.5","Fb","Data obtained as a balance"
"ESB","Soil nutrient budget","2","Afghanistan","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2018","2018","kg/ha","5.8863","Fc","Calculated data"
"ESB","Soil nutrient budget","2","Afghanistan","7275","Cropland nutrient flow","5062","Manure applied to Soils","2018","2018","tonnes","72129.1351","A","Aggregate, may include official, semi-official, estimated or calculated data"
"ESB","Soil nutrient budget","2","Afghanistan","7276","Cropland nutrient flow per unit area","5062","Manure applied to Soils","2018","2018","kg/ha","9.1084","Fc","Calculated data"
"ESB","Soil nutrient budget","2","Afghanistan","7275","Cropland nutrient flow","5076","Atmospheric Deposition","2018","2018","tonnes","145899.95","Fc","Calculated data"
"ESB","Soil nutrient budget","2","Afghanistan","7276","Cropland nutrient flow per unit area","5076","Atmospheric Deposition","2018","2018","kg/ha","18.424","Fc","Calculated data"
"ESB","Soil nutrient budget","2","Afghanistan","7275","Cropland nutrient flow","5077","Crop Removal","2018","2018","tonnes","95967.9686","Fc","Calculated data"
"ESB","Soil nutrient budget","2","Afghanistan","7276","Cropland nutrient flow per unit area","5077","Crop Removal","2018","2018","kg/ha","12.1187","Fc","Calculated data"
"ESB","Soil nutrient budget","3","Albania","7275","Cropland nutrient flow","5061","Synthetic Fertilizers","2018","2018","tonnes","24769.07","A","Aggregate, may include official, semi-official, estimated or calculated data"
"ESB","Soil nutrient budget","3","Albania","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2018","2018","kg/ha","35.5877","Fc","Calculated data"
"ESB","Soil nutrient budget","3","Albania","7275","Cropland nutrient flow","5062","Manure applied to Soils","2018","2018","tonnes","32356.3169","A","Aggregate, may include official, semi-official, estimated or calculated data"
"ESB","Soil nutrient budget","3","Albania","7276","Cropland nutrient flow per unit area","5062","Manure applied to Soils","2018","2018","kg/ha","46.489","Fc","Calculated data"
"ESB","Soil nutrient budget","3","Albania","7275","Cropland nutrient flow","5076","Atmospheric Deposition","2018","2018","tonnes","5633.1561","Fc","Calculated data"
"ESB","Soil nutrient budget","3","Albania","7276","Cropland nutrient flow per unit area","5076","Atmospheric Deposition","2018","2018","kg/ha","8.0936","Fc","Calculated data"
"ESB","Soil nutrient budget","3","Albania","7275","Cropland nutrient flow","5077","Crop Removal","2018","2018","tonnes","17119.5737","Fc","Calculated data"
"ESB","Soil nutrient budget","3","Albania","7276","Cropland nutrient flow per unit area","5077","Crop Removal","2018","2018","kg/ha","24.5971","Fc","Calculated data"
"ESB","Soil nutrient budget","3","Albania","7275","Cropland nutrient flow","5078","Biological Fixation","2018","2018","tonnes","810.27","Fc","Calculated data"
"ESB","Soil nutrient budget","3","Albania","7276","Cropland nutrient flow per unit area","5078","Biological Fixation","2018","2018","kg/ha","1.1642","Fc","Calculated data"
"ESB","Soil nutrient budget","4","Algeria","7275","Cropland nutrient flow","5061","Synthetic Fertilizers","2018","2018","tonnes","70200","Fm","Manual Estimation"
"ESB","Soil nutrient budget","4","Algeria","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2018","2018","kg/ha","8.2423","Fc","Calculated data"
"ESB","Soil nutrient budget","4","Algeria","7275","Cropland nutrient flow","5062","Manure applied to Soils","2018","2018","tonnes","24140.9543","A","Aggregate, may include official, semi-official, estimated or calculated data"
"ESB","Soil nutrient budget","4","Algeria","7276","Cropland nutrient flow per unit area","5062","Manure applied to Soils","2018","2018","kg/ha","2.8344","Fc","Calculated data"
"ESB","Soil nutrient budget","4","Algeria","7275","Cropland nutrient flow","5076","Atmospheric Deposition","2018","2018","tonnes","41808.0205","Fc","Calculated data"
"ESB","Soil nutrient budget","4","Algeria","7276","Cropland nutrient flow per unit area","5076","Atmospheric Deposition","2018","2018","kg/ha","4.9088","Fc","Calculated data"
"ESB","Soil nutrient budget","4","Algeria","7275","Cropland nutrient flow","5077","Crop Removal","2018","2018","tonnes","176047.4667","Fc","Calculated data"
"ESB","Soil nutrient budget","4","Algeria","7276","Cropland nutrient flow per unit area","5077","Crop Removal","2018","2018","kg/ha","20.6701","Fc","Calculated data"
"ESB","Soil nutrient budget","4","Algeria","7275","Cropland nutrient flow","5078","Biological Fixation","2018","2018","tonnes","9256.02","Fc","Calculated data"
"ESB","Soil nutrient budget","4","Algeria","7276","Cropland nutrient flow per unit area","5078","Biological Fixation","2018","2018","kg/ha","1.0868","Fc","Calculated data"
"ESB","Soil nutrient budget","7","Angola","7275","Cropland nutrient flow","5061","Synthetic Fertilizers","2018","2018","tonnes","21942.48","Fb","Data obtained as a balance"
"ESB","Soil nutrient budget","7","Angola","7276","Cropland nutrient flow per unit area","5061","Synthetic Fertilizers","2018","2018","kg/ha","4.2076","Fc","Calculated data"
"ESB","Soil nutrient budget","7","Angola","7275","Cropland nutrient flow","5062","Manure applied to Soils","2018","2018","tonnes","46929","A","Aggregate, may include official, semi-official, estimated or calculated data"
"ESB","Soil nutrient budget","7","Angola","7276","Cropland nutrient flow per unit area","5062","Manure applied to Soils","2018","2018","kg/ha","8.9988","Fc","Calculated data"
"ESB","Soil nutrient budget","7","Angola","7275","Cropland nutrient flow","5076","Atmospheric Deposition","2018","2018","tonnes","28648.081","Fc","Calculated data"
"ESB","Soil nutrient budget","7","Angola","7276","Cropland nutrient flow per unit area","5076","Atmospheric Deposition","2018","2018","kg/ha","5.4934","Fc","Calculated data"
"ESB","Soil nutrient budget","7","Angola","7275","Cropland nutrient flow","5077","Crop Removal","2018","2018","tonnes","85186.2155","Fc","Calculated data"
"ESB","Soil nutrient budget","7","Angola","7276","Cropland nutrient flow per unit area","5077","Crop Removal","2018","2018","kg/ha","16.3348","Fc","Calculated data"
"ESB","Soil nutrient budget","7","Angola","7275","Cropland nutrient flow","5078","Biological Fixation","2018","2018","tonnes","18116.67","Fc","Calculated data"
"ESB","Soil nutrient budget","7","Angola","7276","Cropland nutrient flow per unit area","5078","Biological Fixation","2018","2018","kg/ha","3.474","Fc","Calculated data"
