Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","AFG","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","37171.921","X","International reliable sources",""
"OA","Annual population","ALB","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","2882.74","X","International reliable sources",""
"OA","Annual population","DZA","Algeria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","42228.408","X","International reliable sources",""
"OA","Annual population","ASM","American Samoa","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","55.465","X","International reliable sources",""
"OA","Annual population","AND","Andorra","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","77.006","X","International reliable sources",""
"OA","Annual population","AGO","Angola","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","30809.787","X","International reliable sources",""
"OA","Annual population","AIA","Anguilla","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","14.731","X","International reliable sources",""
"OA","Annual population","ATG","Antigua and Barbuda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","96.286","X","International reliable sources",""
"OA","Annual population","ARG","Argentina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","44361.15","X","International reliable sources",""
"OA","Annual population","ARM","Armenia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","2951.745","X","International reliable sources",""
"OA","Annual population","ABW","Aruba","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","105.845","X","International reliable sources",""
"OA","Annual population","AUS","Australia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","24898.152","X","International reliable sources",""
"OA","Annual population","AUT","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","8891.388","X","International reliable sources",""
"OA","Annual population","AZE","Azerbaijan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","9949.537","X","International reliable sources",""
"OA","Annual population","BHS","Bahamas","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","385.637","X","International reliable sources",""
"OA","Annual population","BHR","Bahrain","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","1569.446","X","International reliable sources",""
"OA","Annual population","BGD","Bangladesh","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","161376.708","X","International reliable sources",""
"OA","Annual population","BRB","Barbados","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","286.641","X","International reliable sources",""
"OA","Annual population","BLR","Belarus","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","9452.617","X","International reliable sources",""
"OA","Annual population","BEL","Belgium","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","11482.178","X","International reliable sources",""
"OA","Annual population","BLZ","Belize","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","383.071","X","International reliable sources",""
"OA","Annual population","BEN","Benin","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","11485.044","X","International reliable sources",""
"OA","Annual population","BMU","Bermuda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","62.756","X","International reliable sources",""
"OA","Annual population","BTN","Bhutan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","754.388","X","International reliable sources",""
"OA","Annual population","BOL","Bolivia (Plurinational State of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","11353.142","X","International reliable sources",""
"OA","Annual population","BES","Bonaire, Sint Eustatius and Saba","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","25.711","X","International reliable sources",""
