Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","258","Anguilla","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","14.731","X","International reliable sources",""
"OA","Annual population","258","Anguilla","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","0","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","258","Anguilla","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","15.045","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","8","Antigua and Barbuda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","96.286","X","International reliable sources",""
"OA","Annual population","8","Antigua and Barbuda","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","46.419","X","International reliable sources",""
"OA","Annual population","8","Antigua and Barbuda","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","49.863","X","International reliable sources",""
"OA","Annual population","8","Antigua and Barbuda","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","77.7","X","International reliable sources",""
"OA","Annual population","8","Antigua and Barbuda","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","25.35","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","9","Argentina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","44361.15","X","International reliable sources",""
"OA","Annual population","9","Argentina","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","21631.673","X","International reliable sources",""
"OA","Annual population","9","Argentina","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","22729.477","X","International reliable sources",""
"OA","Annual population","9","Argentina","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","3632.997","X","International reliable sources",""
"OA","Annual population","9","Argentina","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","41055.867","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","22","Aruba","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","105.845","X","International reliable sources",""
"OA","Annual population","22","Aruba","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","50.244","X","International reliable sources",""
"OA","Annual population","22","Aruba","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","55.602","X","International reliable sources",""
"OA","Annual population","22","Aruba","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","59.798","X","International reliable sources",""
"OA","Annual population","22","Aruba","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","45.872","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","12","Bahamas","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","385.637","X","International reliable sources",""
"OA","Annual population","12","Bahamas","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","187.322","X","International reliable sources",""
"OA","Annual population","12","Bahamas","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","198.313","X","International reliable sources",""
"OA","Annual population","12","Bahamas","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","67.779","X","International reliable sources",""
"OA","Annual population","12","Bahamas","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","331.506","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","14","Barbados","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","286.641","X","International reliable sources",""
"OA","Annual population","14","Barbados","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","138.525","X","International reliable sources",""
"OA","Annual population","14","Barbados","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","148.115","X","International reliable sources",""
"OA","Annual population","14","Barbados","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","197.187","X","International reliable sources",""
"OA","Annual population","14","Barbados","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","89.201","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","23","Belize","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","383.071","X","International reliable sources",""
"OA","Annual population","23","Belize","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","190.798","X","International reliable sources",""
"OA","Annual population","23","Belize","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","192.273","X","International reliable sources",""
"OA","Annual population","23","Belize","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 persons","207.573","X","International reliable sources",""
"OA","Annual population","23","Belize","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 persons","174.871","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","17","Bermuda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","62.756","X","International reliable sources",""
