Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,WCA Round,Census Year,Unit,Value,Flag,Flag Description,Note
"WCAD","Structural data from agricultural censuses","33","Canada","50260","Area","27002","Holdings","2010","2006/2011","ha","64812723","","Official data",""
"WCAD","Structural data from agricultural censuses","33","Canada","5017","Average area","27002","Holdings","2010","2006/2011","ha","315.04","Fc","Calculated data",""
"WCAD","Structural data from agricultural censuses","33","Canada","60850","Number","27002","Holdings","2010","2006/2011","No","205730","","Official data",""
"WCAD","Structural data from agricultural censuses","33","Canada","50260","Area","270030","Holdings with land size 0-<1","2010","2006/2011","ha","5688","*","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","33","Canada","60850","Number","270030","Holdings with land size 0-<1","2010","2006/2011","No","3248","*","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","33","Canada","50260","Area","270031","Holdings with land size 1-<2","2010","2006/2011","ha","24541210","*","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","33","Canada","60850","Number","270031","Holdings with land size 1-<2","2010","2006/2011","No","11667","*","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","33","Canada","50260","Area","270032","Holdings with land size 2-<3","2010","2006/2011","ha","5687","*","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","33","Canada","60850","Number","270032","Holdings with land size 2-<3","2010","2006/2011","No","3248","*","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","33","Canada","50260","Area","270034","Holdings with land size 3-<4","2010","2006/2011","ha","5687","*","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","33","Canada","60850","Number","270034","Holdings with land size 3-<4","2010","2006/2011","No","3248","*","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","33","Canada","50260","Area","270035","Holdings with land size 4-<5","2010","2006/2011","ha","18723","*","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","33","Canada","60850","Number","270035","Holdings with land size 4-<5","2010","2006/2011","No","1363","*","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","33","Canada","50260","Area","270036","Holdings with land size 5-<10","2010","2006/2011","ha","93615","*","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","33","Canada","60850","Number","270036","Holdings with land size 5-<10","2010","2006/2011","No","6814","*","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","33","Canada","50260","Area","270037","Holdings with land size 10-<20","2010","2006/2011","ha","187229","*","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","33","Canada","60850","Number","270037","Holdings with land size 10-<20","2010","2006/2011","No","13627","*","Unofficial figure","Interpolated data"
